chord,clef,note,octave
1,treble,D,6
1,treble,A,6
1,treble,E,5
1,treble,D,5
1,treble,A,5
1,treble,D,4
1,bass,B,3
1,bass,F#,2
2,treble,D,6
2,treble,A,6
2,treble,E,5
2,treble,D,5
2,treble,A,5
2,treble,E,4
2,treble,D,4
2,bass,F#,3
2,bass,B,3
3,treble,E,6
3,treble,A,6
3,treble,E,5
3,treble,A,5
3,treble,E,4
3,bass,F#,3
3,bass,C#,3
4,treble,E,6
4,treble,B,6
4,treble,A,6
4,treble,E,5
4,treble,B,5
4,treble,A,5
4,treble,E,4
4,bass,C#,3
4,bass,F#,2
5,treble,B,6
5,treble,E,5
5,treble,B,5
5,treble,G#,4
5,treble,F#,4
5,treble,E,4
5,bass,A,3
5,bass,D,2
6,treble,B,6
6,treble,E,5
6,treble,C#,5
6,treble,B,5
6,treble,G#,4
6,treble,F#,4
6,treble,E,4
6,bass,E,3
6,bass,A,3
7,treble,C#,6
7,treble,A,6
7,treble,C#,5
7,treble,A,5
7,treble,G#,4
7,treble,F#,4
7,bass,F#,3
7,bass,C#,3
8,treble,F#,5
8,treble,C#,5
8,treble,B,5
8,treble,A,5
8,treble,G#,4
8,treble,F#,4
8,bass,C#,3
8,bass,F#,2
9,treble,E,6
9,treble,B,6
9,treble,G#,5
9,treble,E,5
9,treble,B,5
9,treble,A,5
9,treble,G#,4
9,treble,F#,4
9,treble,C#,4
9,bass,A,3
9,bass,E,2
10,treble,E,6
10,treble,A,6
10,treble,E,5
10,treble,A,5
10,treble,G#,4
10,treble,F#,4
10,bass,A,3
10,bass,D,2
11,treble,A,6
11,treble,E,5
11,treble,A,5
11,treble,F#,4
11,treble,E,4
11,bass,D,3
11,bass,A,3